seed,generator,full_f1,rule_f1,hif_f1,full_acc,rule_acc,hif_acc,retention_rule,retention_hif,hif_score
42,ctgan,0.5010103001330639,0.47796988287785835,0.5573769010963202,0.55,0.545,0.5916666666666667,96.35000000000001,64.95,0.5751
43,ctgan,0.34375,0.3496769777093227,0.3929891287342815,0.4866666666666667,0.49333333333333335,0.515,99.1,66.8,0.601
44,ctgan,0.338527611461067,0.3422222222222222,0.3422222222222222,0.505,0.5066666666666667,0.5066666666666667,95.05,59.199999999999996,0.5611
45,ctgan,0.552414008597029,0.54242614707731,0.7714832184726073,0.5583333333333333,0.545,0.7716666666666666,92.35,63.74999999999999,0.5757
46,ctgan,0.37564269818126006,0.3386018080788279,0.4985502611340247,0.435,0.42833333333333334,0.5383333333333333,95.25,69.6,0.6091
47,ctgan,0.43857446734316696,0.49139793932592324,0.6891879307133544,0.4633333333333333,0.5266666666666666,0.7033333333333334,95.65,65.64999999999999,0.5734
48,ctgan,0.49229241013943564,0.49513162639740355,0.61,0.5783333333333334,0.58,0.6533333333333333,99.55000000000001,69.25,0.6113
49,ctgan,0.33522727272727276,0.3278871017835769,0.4356520672310146,0.48,0.465,0.54,97.75,68.25,0.5989
50,ctgan,0.34561610207513377,0.33993399339933994,0.41556043956043953,0.5016666666666667,0.5016666666666667,0.5383333333333333,98.55000000000001,65.0,0.5919
51,ctgan,0.5503154725154269,0.5503154725154269,0.6022090912601861,0.6216666666666667,0.6216666666666667,0.6566666666666666,100.0,64.75,0.5827
